Consent Form Summary:

This research study aims to determine the safest dose of a new drug, IPdR, when given with standard treatments – capecitabine and radiation therapy – for locally advanced rectal cancer. About 20-30 participants will receive capecitabine and radiation, along with varying doses of IPdR taken by mouth daily for about six weeks. After treatment, you will be monitored for four weeks, and then have surgery approximately 8-12 weeks later. Potential risks include side effects like diarrhea and dehydration, and the possibility that the added drug may not be as effective as usual treatment. Benefits may include shrinking or stabilizing the cancer, though this is not guaranteed. You can stop participating at any time without affecting your regular medical care. Your medical information will be kept private, though it may be shared for research purposes while protecting your identity. There are no costs to you for research-related procedures, but you are responsible for costs associated with standard care like capecitabine and radiation. You will not be paid for participating, but may contribute to future advancements in cancer treatment. If you experience an injury related to the study, your insurance may not cover it. For questions or concerns, contact the study doctor at (*insert telephone number*).

Extracted Paragraph from Consent Form:

## 10410 -Patient Study Calendar

<!-- image -->

|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Pre- Study                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | Week 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Week 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Week 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Week 4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Week 5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Week 6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 4 weeks after the completion of study treatment (Week 10)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Surgery at 8-12 weeks following completion of study treatment (Week 14-18)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| IPdR A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Capecitabine B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Radiation therapy (RT) C                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Pre-study procedures including Informed consent, Demographics, Medical history, and Height                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Concurrent meds                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X-----------------------------------------------------X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Physical exam, Vital signs, Weight                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| An assessment of how you perform everyday tasks and activities                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Blood draws for complete blood count and general health status                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| EKG (as indicated)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | X                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
