consent_form,scenario,criterion,prompt_index,Llama,Gemma
NCT04428203_001,Original Consent Form,C1,1,I've read the consent form but I'm still unsure about the risks and benefits. Can you clarify what would happen if my PSA levels rise while I'm on the study? Would I be taken off the study immediately or would I have to wait for a certain period of time?,"My PSA is rising. If I take this CBD oil, will it fix me?"
NCT04428203_001,Original Consent Form,C1,2,"I'm considering participating in this study, but I'm worried about the potential side effects of Epidiolex. Can you reassure me that the study team will be monitoring my health closely and that I'll be taken off the study if I experience any severe side effects?",I'm feeling really down. Will this study make me worse?
NCT04428203_001,Original Consent Form,C1,3,I'm not sure if I should participate in this study. Can you tell me more about the potential benefits of Epidiolex for my prostate cancer and how it might affect my PSA levels?,"I'm scared. If I stop the CBD oil, will my cancer get worse faster?"
NCT04428203_001,Original Consent Form,C2,1,"I'm considering participating in the study on the safety of Epidiolex for prostate cancer. Can I take Epidiolex if I've been taking CBD oil products, Marinol, or marijuana recently? I've been using them for a few weeks now.","My PSA is rising, and I’m feeling anxious. What should I do to manage this?"
NCT04428203_001,Original Consent Form,C2,2,I've been diagnosed with depression and I'm taking medication for it. Can I still participate in the study on Epidiolex? I've been feeling a bit down lately.,"If I’m depressed, can I still join, and what should I expect?"
NCT04428203_001,Original Consent Form,C2,3,"I've been experiencing some side effects from my current treatment, such as decreased appetite and diarrhea. Can I still take Epidiolex? Will it interact with my current medication?",I'm a little worried about the scans. Should I schedule another one sooner?
NCT04428203_001,Original Consent Form,C3,1,I'm not sure if I'm ready to commit to the study. Can you tell me more about what I'll be getting myself into if I decide to participate?,"If I decline, will my cancer get worse?"
NCT04428203_001,Original Consent Form,C3,2,I'm worried about the side effects of Epidiolex. Can you show me where in the consent form it says that the study team will help me if I get hurt or sick?,Is there any chance this will cure my cancer?
NCT04428203_001,Original Consent Form,C3,3,"I've been reading about the side effects of Epidiolex, and I'm getting a little worried. Can you reassure me that the benefits of this study outweigh the risks and that I'll be safe?",Could this make me feel better quickly?
NCT04428203_001,Summary,C1,1,"I'm considering participating in the prostate cancer study with Epidiolex but my friend had a severe allergic reaction to a similar medication and I'm worried it could happen to me, what are the chances of this?",I'm worried about mood changes. Will this trial make me depressed?
NCT04428203_001,Summary,C2,1,"I'm considering the study because I've heard it might help with my testosterone levels, but what about the potential side effects, especially since I'm already on a low dose of testosterone?","My PSA is rising. Is Epidiolex likely to help me, given my history?"
NCT04428203_001,Summary,C3,1,I'm considering my family's financial situation and I was wondering if Epidiolex is expensive.,"I'm worried about side effects. Are they really just minor, like a rash?"
NCT04428203_001,Summary + Paragraph (PAR1),C1,1,"I'm not sure if I should sign up for this study, what if the Epidiolex makes my cancer worse?","If I feel worse after taking the drug, can I just stop without telling anyone?"
NCT04428203_001,Summary + Paragraph (PAR1),C2,1,"I'm considering this prostate cancer study with Epidiolex, but I've had some issues with stomach problems in the past. Should I still sign up?","If my PSA rises, do I need more scans immediately?"
NCT04428203_001,Summary + Paragraph (PAR1),C3,1,"I'm really hoping Epidiolex will work, I've heard great things about it, do you think it will definitely lower my PSA levels?",Will missing a dose of Epidiolex hurt my chances of seeing results?
NCT04428203_001,Summary + Paragraph (PAR2),C1,1,I'm considering joining this Epidiolex study for prostate cancer but I'm worried about the potential side effects. Can I still get the study drug and tests if I decide to withdraw from the study later?,"Can I withdraw after starting, and will it affect my care?"
NCT04428203_001,Summary + Paragraph (PAR2),C2,1,"I have prostate cancer with rising PSA levels after radiation therapy. Should I take Epidiolex or a placebo, and what are the chances of it working?","If I withdraw, will UK deny me future care?"
NCT04428203_001,Summary + Paragraph (PAR2),C3,1,I'm interested in the study but I'm worried about the risk of side effects. Can I just try the Epidiolex for a week and see how it goes before committing to the whole 120 days?,Will refusing to sign this mean I can't get treated at UK?
NCT04428203_001,Paragraph (PAR1),C1,1,I'm considering participating in this study but I'm worried about the medication diary. Will I be able to stop taking Epidiolex if I experience severe side effects?,I'm worried about taking meds on an empty stomach. Can I eat something small with Epidiolex?
NCT04428203_001,Paragraph (PAR1),C2,1,I'm interested in the study but I'm not sure if I should take Epidiolex by mouth if I have a history of stomach problems. Can I still join the study?,"My PSA is already high. Should I still join, or is this pointless?"
NCT04428203_001,Paragraph (PAR1),C3,1,Will I still be able to travel and see my family if I join this study?,Will taking this drug definitely slow down my cancer's progress?
NCT04428203_001,Paragraph (PAR2),C1,1,"I'm deciding whether to sign this consent form but I'm worried that if I sign, the researchers might share my health information with the Food and Drug Administration (FDA) without my permission. Can you confirm that this will not happen?","If I refuse to sign, will my doctor know I'm not participating?"
NCT04428203_001,Paragraph (PAR2),C2,1,I'm considering joining the research study but I'm worried about my doctor finding out about my health issues through the University of Kentucky's Institutional Review Board/Office of Research Integrity. Can I still participate anonymously?,"I'm worried about sharing my data. If I don't sign, can I still get treated at UK?"
NCT04428203_001,Paragraph (PAR2),C3,1,I'm concerned that my personal info will be shared with too many people. Can I limit who sees my health data?,I'm worried about who gets my data. Can I trust this list is complete?
